	rank	word	text	happs	stdDev
0	1	laughter	laughter	8.5	0.9313
1	2	happiness	happiness	8.44	0.9723
2	3	love	love	8.42	1.1082
3	4	happy	happy	8.3	0.9949
4	5	laughed	laughed	8.26	1.1572
5	6	laugh	laugh	8.22	1.3746
6	7	laughing	laughing	8.2	1.1066
7	8	excellent	excellent	8.18	1.1008
8	9	laughs	laughs	8.18	1.1551
9	10	joy	joy	8.16	1.0568
10	11	successful	successful	8.16	1.0759
11	12	win	win	8.12	1.0812
12	13	rainbow	rainbow	8.1	0.9949
13	14	smile	smile	8.1	1.0152
14	15	won	won	8.1	1.2164
15	16	pleasure	pleasure	8.08	0.9655
16	17	smiled	smiled	8.08	1.066
17	18	rainbows	rainbows	8.06	1.3603
18	19	winning	winning	8.04	1.049
19	20	celebration	celebration	8.02	1.5318
20	21	enjoyed	enjoyed	8.02	1.5318
21	22	healthy	healthy	8.02	1.0593
22	23	music	music	8.02	1.1156
23	24	celebrating	celebrating	8.0	1.1429
24	25	congratulations	congratulations	8.0	1.6288
25	26	weekend	weekend	8.0	1.2936
26	27	celebrate	celebrate	7.98	1.1516
27	28	comedy	comedy	7.98	1.1516
28	29	jokes	jokes	7.98	0.9792
29	30	rich	rich	7.98	1.3169
30	31	victory	victory	7.98	1.0784
31	32	christmas	christmas	7.96	1.293
32	33	free	free	7.96	1.261
33	34	friendship	friendship	7.96	1.1241
34	35	fun	fun	7.96	1.3087
35	36	holidays	holidays	7.96	1.261
36	37	loved	loved	7.96	1.1599
37	38	loves	loves	7.96	1.3696
38	39	loving	loving	7.96	1.0093
39	40	beach	beach	7.94	1.0577
40	41	hahaha	hahaha	7.94	1.5572
41	42	kissing	kissing	7.94	1.1323
42	43	sunshine	sunshine	7.94	1.1678
43	44	beautiful	beautiful	7.92	1.1753
44	45	delicious	delicious	7.92	1.2591
45	46	friends	friends	7.92	1.1925
46	47	funny	funny	7.92	1.0467
47	48	outstanding	outstanding	7.92	1.14
48	49	paradise	paradise	7.92	1.3974
49	50	sweetest	sweetest	7.92	1.2911
50	51	vacation	vacation	7.92	1.9042
51	52	butterflies	butterflies	7.92	1.077
52	53	freedom	freedom	7.9	1.4178
53	54	flower	flower	7.88	1.1718
54	55	great	great	7.88	1.2061
55	56	sunlight	sunlight	7.88	1.4934
56	57	sweetheart	sweetheart	7.88	1.272
57	58	sweetness	sweetness	7.88	1.1891
58	59	award	award	7.86	1.5651
59	60	chocolate	chocolate	7.86	1.0304
60	61	hahahaha	hahahaha	7.86	1.7025
61	62	heaven	heaven	7.86	1.578
62	63	peace	peace	7.86	1.3403
63	64	splendid	splendid	7.86	1.457
64	65	success	success	7.86	1.6414
65	66	enjoying	enjoying	7.84	1.5032
66	67	kissed	kissed	7.84	1.5048
67	68	attraction	attraction	7.82	1.024
68	69	celebrated	celebrated	7.8	1.178
69	70	hero	hero	7.8	1.3997
70	71	hugs	hugs	7.8	1.4428
71	72	positive	positive	7.8	1.2454
72	73	sun	sun	7.8	1.3553
73	74	birthday	birthday	7.78	1.9091
74	75	blessed	blessed	7.78	1.2824
75	76	fantastic	fantastic	7.78	1.0934
76	77	winner	winner	7.78	1.6938
77	78	delight	delight	7.78	1.4181
78	79	beauty	beauty	7.76	1.6107
79	80	butterfly	butterfly	7.76	1.3334
80	81	entertainment	entertainment	7.76	1.2216
81	82	funniest	funniest	7.76	1.5592
82	83	honesty	honesty	7.76	1.2707
83	84	sky	sky	7.76	1.0797
84	85	smiles	smiles	7.76	1.7907
85	86	succeed	succeed	7.76	1.6971
86	87	wonderful	wonderful	7.76	1.7907
87	88	glorious	glorious	7.74	1.3969
88	89	kisses	kisses	7.74	1.192
89	90	promotion	promotion	7.74	1.3822
90	91	family	family	7.72	1.3099
91	92	gift	gift	7.72	1.3407
92	93	humor	humor	7.72	1.0887
93	94	romantic	romantic	7.72	1.1959
94	95	cupcakes	cupcakes	7.7	1.233
95	96	festival	festival	7.7	1.0738
96	97	hahahahaha	hahahahaha	7.7	1.359
97	98	honour	honour	7.7	1.2495
98	99	relax	relax	7.7	1.0738
99	100	weekends	weekends	7.7	1.7871
100	101	angel	angel	7.68	1.2362
101	102	b-day	b-day	7.68	1.5312
102	103	bonus	bonus	7.68	1.463
103	104	brilliant	brilliant	7.68	1.6218
104	105	diamonds	diamonds	7.68	1.4769
105	106	holiday	holiday	7.68	1.3005
106	107	lucky	lucky	7.68	1.2688
107	108	mother	mother	7.68	1.6714
108	109	super	super	7.68	1.5964
109	110	amazing	amazing	7.66	1.493
110	111	angels	angels	7.66	1.4654
111	112	enjoy	enjoy	7.66	1.4654
112	113	friend	friend	7.66	1.5066
113	114	friendly	friendly	7.66	1.5467
114	115	mother's	mother's	7.66	1.2875
115	116	profit	profit	7.66	1.239
116	117	finest	finest	7.66	1.3875
117	118	bday	bday	7.64	1.6753
118	119	champion	champion	7.64	1.2249
119	120	grandmother	grandmother	7.64	1.3516
