	news_collected_time	news_title
0	2014-11-18	Missouri's Nixon Declares State of Emergency Awaiting Grand Jury
1	2014-11-18	At least 4 dead in attack in Kabul, official says
2	2014-11-18	Australia will not be at periphery of India's vision: Modi
3	2014-11-18	Four Killed in Palestinian Attack at Jerusalem Synagogue
4	2014-11-18	Mass murderer Charles Manson issued marriage license, may get hitched next ...
5	2014-11-18	News Guide: Texas' latest history textbook tussle
6	2014-11-18	Abdul-Rahman Kassig's parents mourn 'beloved son'
7	2014-11-18	Obama orders full review of US hostage policy
8	2014-11-18	Homeless Children in US: A parent-to-parent approach to help kids (+video)
9	2014-11-18	Church of England approves women bishops
10	2014-11-18	Uber executive wants to dig into personal lives, discredit journalists who cover ...
11	2014-11-18	Suicide blast kills two at Kabul's foreign compound
12	2014-11-18	Four Killed in Jerusalem Synagogue Complex
13	2014-11-18	Source: Charles Manson, fiance get marriage license
14	2014-11-18	Suicide Attack in Afghan Capital Kills 2
15	2014-11-18	Europeans have prominent role in beheading video
16	2014-11-18	Deals Heat Up for Lawyers Like It's 1998: Business of Law
17	2014-11-18	Cupich set to become 9th archbishop of Chicago
18	2014-11-18	4 Israelis, 2 Palestinians killed in synagogue attack, Israeli police say
19	2014-11-18	Missouri Gov. Jay Nixon Declares State Of Emergency Ahead Of Grand Jury Decision
20	2014-11-18	French National Identified In Islamic State Beheading Video
21	2014-11-18	Suicide bombing near coalition base in Kabul kills 2 security officers
22	2014-11-18	Baseball notes, Nov. 17: Stanton gets record $325 million deal
23	2014-11-18	Some Barricades Cleared From HK Protest Site
24	2014-11-18	Pakistan ranks third among terror-hit countries
25	2014-11-18	Gunfight at godman Rampal's ashram in Hisar, devotees take on cops
26	2014-11-18	AP Exclusive: Charles Manson gets marriage license
27	2014-11-18	India sixth worst affected country by terrorism in 2013: Report
28	2014-11-18	Should Uber Fire Exec Who Suggested Investigating Reporters' Personal Lives?
29	2014-11-18	'Cruel murder': Netanyahu, Kerry denounce terror attack on Jerusalem synagogue
30	2014-11-18	Taliban Suicide Attacker Kills 4 in Kabul
31	2014-11-18	Uber executive suggests 'digging up dirt' on media critics: BuzzFeed
32	2014-11-18	Indian PM Modi Urges Greater Security, Economic Ties With Australia
33	2014-11-18	Study Finds Alternative to Anti-Cholesterol Drug
34	2014-11-18	Four dead in suspected Palestinian attack on Jerusalem synagogue
35	2014-11-18	Charles Manson reluctantly applies for marriage license to wed girlfriend
36	2014-11-18	UPDATE 3-Truck bomb kills two in attack on foreign base in Kabul
37	2014-11-18	All 50 States Face Winter Whack; 5 Feet of Snow Forecast Near Buffalo
38	2014-11-18	Deals Heat Up for Lawyers Like It's 1998: Business of Law
